eeschema (2013-04-19 BZR 4011)-stable  >> Creation date: 9/2/2013 2:07:54 AM
#Cmp ( order = Reference ) (with SubCmp)
| C126       1u          Loc /(X=505.460 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C127       1u          Loc /(X=509.270 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C128       1u          Loc /(X=509.270 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C129       1u          Loc /(X=509.270 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C130       1u          Loc /(X=510.540 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C131       1u          Loc /(X=510.540 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C132       1u          Loc /(X=510.540 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C133       1u          Loc /(X=510.540 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C134       1u          Loc /(X=511.810 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C135       1u          Loc /(X=515.620 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C136       1u          Loc /(X=515.620 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C137       1u          Loc /(X=515.620 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C138       1u          Loc /(X=516.890 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C139       1u          Loc /(X=516.890 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C140       1u          Loc /(X=516.890 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C141       1u          Loc /(X=516.890 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C142       1u          Loc /(X=518.160 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C143       1u          Loc /(X=546.100 mm, Y=77.470 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C144       1u          Loc /(X=546.100 mm, Y=83.820 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C145       1u          Loc /(X=546.100 mm, Y=90.170 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C146       1u          Loc /(X=546.100 mm, Y=96.520 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C147       1u          Loc /(X=546.100 mm, Y=102.870 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C148       1u          Loc /(X=546.100 mm, Y=201.930 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C149       1u          Loc /(X=546.100 mm, Y=208.280 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C150       1u          Loc /(X=546.100 mm, Y=214.630 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C151       1u          Loc /(X=546.100 mm, Y=220.980 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C152       1u          Loc /(X=546.100 mm, Y=227.330 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C153       1u          Loc /(X=546.100 mm, Y=346.710 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C154       1u          Loc /(X=546.100 mm, Y=353.060 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C155       1u          Loc /(X=546.100 mm, Y=359.410 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C156       1u          Loc /(X=546.100 mm, Y=365.760 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C157       1u          Loc /(X=546.100 mm, Y=372.110 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C158       1u          Loc /(X=547.370 mm, Y=477.520 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C159       1u          Loc /(X=547.370 mm, Y=483.870 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C160       1u          Loc /(X=547.370 mm, Y=490.220 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C161       1u          Loc /(X=547.370 mm, Y=496.570 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C162       1u          Loc /(X=547.370 mm, Y=502.920 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C163       0.47u       Loc /(X=581.660 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C164       0.47u       Loc /(X=586.740 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C165       0.47u       Loc /(X=588.010 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C166       0.47u       Loc /(X=588.010 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C167       0.1u        Loc /(X=618.490 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C168       0.1u        Loc /(X=618.490 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C169       0.1u        Loc /(X=618.490 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C170       0.1u        Loc /(X=619.760 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C171       1u          Loc /(X=623.570 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C172       1u          Loc /(X=623.570 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C173       1u          Loc /(X=623.570 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C174       1u          Loc /(X=624.840 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C175       1u          Loc /(X=624.840 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C176       1u          Loc /(X=624.840 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C177       1u          Loc /(X=624.840 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C178       1u          Loc /(X=626.110 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C179       1u          Loc /(X=629.920 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C180       1u          Loc /(X=629.920 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C181       1u          Loc /(X=629.920 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C182       1u          Loc /(X=631.190 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C183       1u          Loc /(X=631.190 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C184       1u          Loc /(X=631.190 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C185       1u          Loc /(X=631.190 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C186       1u          Loc /(X=632.460 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C187       1u          Loc /(X=636.270 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C188       1u          Loc /(X=636.270 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C189       1u          Loc /(X=636.270 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C190       1u          Loc /(X=637.540 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C191       1u          Loc /(X=637.540 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C192       1u          Loc /(X=637.540 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C193       1u          Loc /(X=637.540 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C194       1u          Loc /(X=638.810 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C195       1u          Loc /(X=642.620 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C196       1u          Loc /(X=642.620 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C197       1u          Loc /(X=642.620 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C198       1u          Loc /(X=643.890 mm, Y=123.190 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C199       1u          Loc /(X=643.890 mm, Y=247.650 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C200       1u          Loc /(X=643.890 mm, Y=392.430 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C201       1u          Loc /(X=643.890 mm, Y=453.390 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C202       1u          Loc /(X=645.160 mm, Y=523.240 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C203       1u          Loc /(X=648.970 mm, Y=53.340 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C204       1u          Loc /(X=648.970 mm, Y=177.800 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
| C205       1u          Loc /(X=648.970 mm, Y=322.580 mm); ~           ;             ;             ;             ;             ;             ;             ;             ;             
